datetime,price,demand,biomass,coal,gas,hydro,nuclear ,solar,wind,dutch,french,irish,pumped
2015-12-31 00:30:00,40.0,26.935,2.042,4.213,6.064,0.999,7.681,0.0,3.963,0.793,1.621,-0.044,-0.397
2015-12-31 01:00:00,40.0,26.254,2.043,4.236,5.86,1.004,7.677,0.0,3.986,0.794,1.622,0.103,-1.071
2015-12-31 01:30:00,45.0,25.443,2.043,4.191,5.332,1.003,7.679,0.0,4.172,0.806,1.621,0.001,-1.405
2015-12-31 02:00:00,41.89,24.744,2.043,4.012,4.869,1.0,7.697,0.0,4.216,0.781,1.621,-0.093,-1.402
2015-12-31 02:30:00,42.0,24.196,2.044,3.899,4.279,0.998,7.705,0.0,4.339,0.773,1.621,-0.063,-1.399
2015-12-31 03:00:00,41.79,23.553,2.044,3.85,3.786,0.867,7.816,0.0,4.433,0.789,1.622,-0.122,-1.532
2015-12-31 03:30:00,39.09,22.837,2.04,3.499,3.469,0.824,7.927,0.0,4.397,0.791,1.621,-0.204,-1.527
2015-12-31 04:00:00,39.0,22.426,2.01,3.306,3.533,0.823,7.926,0.0,4.434,0.767,1.621,-0.204,-1.79
2015-12-31 04:30:00,26.0,22.29,1.86,3.197,3.724,0.782,7.931,0.0,4.545,0.798,1.621,-0.204,-1.964
2015-12-31 05:00:00,20.9,22.734,1.96,3.347,3.871,0.771,7.922,0.0,4.702,0.784,1.621,-0.204,-2.04
2015-12-31 05:30:00,20.92,23.422,1.956,3.55,4.28,0.791,7.952,0.0,4.743,0.682,1.621,-0.204,-1.949
2015-12-31 06:00:00,26.9,25.0,1.95,3.57,4.972,0.944,7.956,0.0,4.758,-0.001,1.622,-0.064,-0.707
2015-12-31 06:30:00,25.98,26.285,1.905,3.596,5.23,0.858,7.975,0.0,4.761,-0.001,1.621,0.069,0.271
2015-12-31 07:00:00,30.0,27.995,1.92,3.757,5.56,1.043,7.992,0.0,4.766,0.551,1.621,0.153,0.632
2015-12-31 07:30:00,29.17,29.152,2.042,3.883,6.415,1.063,8.006,0.0,4.791,0.602,1.621,0.128,0.601
2015-12-31 08:00:00,30.0,30.675,2.044,3.957,7.303,1.048,8.007,0.046,4.886,0.775,1.977,0.253,0.379
2015-12-31 08:30:00,28.71,32.219,2.044,4.208,8.185,1.035,8.031,0.302,5.009,0.798,1.977,0.309,0.321
2015-12-31 09:00:00,29.91,33.833,2.043,4.204,8.845,1.049,8.089,0.825,5.179,0.964,1.977,0.345,0.313
2015-12-31 09:30:00,38.82,34.757,2.043,4.227,9.041,1.046,8.136,1.43,5.359,0.983,1.977,0.195,0.32
2015-12-31 10:00:00,42.42,35.524,2.043,4.351,9.041,1.035,8.162,1.88,5.588,0.993,1.977,0.103,0.351
2015-12-31 10:30:00,39.0,35.904,2.043,4.245,9.077,1.043,8.182,2.22,5.827,0.988,1.977,-0.024,0.326
2015-12-31 11:00:00,40.0,36.061,2.041,4.108,9.092,1.04,8.181,2.35,5.989,0.985,1.977,-0.033,0.331
2015-12-31 11:30:00,31.84,36.21,2.041,4.148,9.009,1.035,8.195,2.33,6.188,1.007,1.977,-0.076,0.356
2015-12-31 12:00:00,31.8,36.481,2.031,4.299,9.288,1.039,8.187,2.22,6.119,1.024,1.977,-0.095,0.392
2015-12-31 12:30:00,31.0,36.629,2.029,4.337,9.654,1.04,8.127,2.08,6.118,1.0,1.977,-0.157,0.424
2015-12-31 13:00:00,31.03,36.318,2.036,4.355,9.373,1.033,8.135,1.73,6.533,0.964,1.977,-0.142,0.324
2015-12-31 13:30:00,30.86,36.14,2.04,4.387,9.161,1.043,8.125,1.31,6.725,1.019,1.977,-0.029,0.382
2015-12-31 14:00:00,30.49,36.159,2.022,4.586,9.142,1.057,8.144,0.89,6.919,1.033,1.977,-0.026,0.415
2015-12-31 14:30:00,30.07,36.317,2.038,4.688,9.694,1.061,8.177,0.47,6.82,1.017,1.977,-0.103,0.478
2015-12-31 15:00:00,29.0,36.635,2.04,4.865,10.329,1.062,8.18,0.175,6.922,1.013,1.977,-0.312,0.384
2015-12-31 15:30:00,35.0,37.321,2.043,5.09,10.729,1.064,8.216,0.075,7.169,0.964,1.977,-0.325,0.319
2015-12-31 16:00:00,31.3,39.083,2.043,5.486,12.103,1.061,8.214,0.0,7.178,0.994,1.977,-0.294,0.321
