NGC_BMU_ID,SETT_BMU_ID,FUEL TYPE,EFF_FROM,EFF_TO
ABRBO-1,T_ABRBO-1,WIND,29/08/2017 23:00,
ABRTW-1,E_ABRTW-1,WIND,05/09/2016 23:00,
ABTH7,T_ABTH7,COAL,27/03/2001 05:00,
ABTH7G,T_ABTH7G,OCGT,27/03/2001 05:00,
ABTH8,T_ABTH8,COAL,27/03/2001 05:00,
ABTH8G,T_ABTH8G,OCGT,27/03/2001 05:00,
ABTH9,T_ABTH9,COAL,27/03/2001 05:00,
ABTH9G,T_ABTH9G,OCGT,27/03/2001 05:00,
ACHRW-1,T_ACHRW-1,WIND,01/10/2015 23:00,
ACHYW-1,,WIND,07/06/2010 23:00,
AFTOW-1,T_AFTOW-1,WIND,11/09/2017 23:00,
AIRSW-1,E_AIRSW-1,WIND,16/06/2016 23:00,
AKGLW-1,,WIND,19/11/2008 00:00,
AKGLW-2,T_AKGLW-2,WIND,21/08/2017 23:00,
ANSUW-1,T_ANSUW-1,WIND,01/03/2011 00:00,
ARCHW-1,T_ARCHW-1,WIND,31/08/2012 23:00,
ASHWW-1,E_ASHWW-1,WIND,19/06/2016 23:00,
BABAW-1,E_BABAW-1,WIND,01/12/2012 00:00,
BAGE-1,T_BAGE-1,CCGT,10/02/2004 05:00,
BAGE-2,T_BAGE-2,GAS,10/02/2004 05:00,
BDCHW-1,T_BDCHW-1,WIND,26/06/2018 23:00,
BEATO-1,T_BEATO-1,WIND,27/02/2018 00:00,
BEATO-2,T_BEATO-2,WIND,27/02/2018 00:00,
BEATO-3,T_BEATO-3,WIND,27/02/2018 00:00,
BEATO-4,T_BEATO-4,WIND,27/02/2018 00:00,
BEINW-1,T_BEINW-1,WIND,28/11/2016 00:00,
BETHW-1,E_BETHW-1,WIND,31/05/2011 23:00,
BGLAW-1,,WIND,23/06/2008 23:00,
BHLAW-1,T_BHLAW-1,WIND,28/11/2016 00:00,
BLKWW-1,T_BLKWW-1,WIND,23/08/2017 23:00,
BLLA-1,T_BLLA-1,WIND,31/05/2016 23:00,
BLLA-2,T_BLLA-2,WIND,07/06/2016 23:00,
BNAKW-1,,WIND,16/06/2013 23:00,
BNWKW-1,E_BNWKW-1,WIND,31/08/2017 23:00,
BOULW-1,,WIND,05/12/2005 00:00,
BOWLW-1,T_BOWLW-1,WIND,13/06/2010 23:00,
BOYNW-1,,WIND,16/06/2013 23:00,
BRBEO-1,T_BRBEO-1,WIND,12/05/2016 23:00,
BRDUW-1,E_BRDUW-1,WIND,01/03/2011 00:00,
BRGG-1,E_BRGG-1,GAS,27/03/2001 05:00,
BRYBW-1,E_BRYBW-1,WIND,11/08/2013 23:00,
BRYP-1,E_BRYP-1,GAS,03/09/2003 05:00,
BTUIW-1,,WIND,12/10/2008 23:00,
BTUIW-2,E_BTUIW-2,WIND,01/12/2012 00:00,
BURBW-1,E_BURBO,WIND,01/12/2011 00:00,
CAIRW-1,2_PPGEN001,WIND,23/06/2008 23:00,
CAIRW-2,2__PSTAT001,WIND,02/11/2012 00:00,
CARR-1,T_CARR-1,CCGT,01/12/2015 00:00,
