the_geom,capacity_mw,record_last_updated_dd_mm_yyyy,operator,name,renewable_or_non_renewable,technology_type,cartodb_id,development_status,county,region,country,lat,long,operational
0101000020E6100000C40B7D0B4680F13F94128255F5BA4940,90,03/12/2014,Elsam,Kentish Flats,Renewable,Wind Offshore,400,Operational,Offshore,Offshore,England,51.460612,1.0938168,10/09/2005
,56,May 2015,E.On UK,Castleford,Non-renewable,CCGT,1605,Operational,,,Yorkshire and the Humber,,,2002
0101000020E6100000D3F71A82E3F20AC009A87004A97C4D40,7,04/03/2015,Scottish Power (CRE Energy),European Marine Energy Centre (EMEC),Renewable,Shoreline Wave,513,Operational,Offshore,Offshore,Scotland,58.973908,-3.368598,27/05/2008
0101000020E61000002EC48FD6BD7214C0E17EC00303004C40,8,03/03/2010,Scottish and Southern Energy (SSE),Striven,Renewable,Large Hydro,5,Operational,Strathclyde,Scotland,Scotland,56.000092,-5.1120523,01/01/1951
0101000020E610000066C73EAF15C0CB3F3FC91D3691F74940,1.1,30/06/2009,Biffa,Ugley,Renewable,Landfill Gas,411,Operational,Essex,Eastern,England,51.934119,0.21679946,01/12/2005
0101000020E61000003B38D89B18F2F0BF9D11A5BDC1774A40,4.2,13/08/2015,Sirius Solar Building,Radcliffe Solar Farm,Renewable,Solar Photovoltaics,1578,Operational,Nottinghamshire,East Midlands,England,52.9356,-1.0591055,13/06/2015
0101000020E610000014AE47E17A14F4BF499D8026C26E4A40,34,May 2015,E.On UK,Ratcliffe GT,Non-renewable,Gas oil,1675,Operational,,,East Midlands,52.8653,-1.255,1966
0101000020E610000051B758F6C9B60EC015AA9B8BBF2F4C40,1.9,30/04/2010,,Turret water treatment works,Renewable,Small Hydro,6,Operational,Tayside,Scotland,Scotland,56.373033,-3.8392524,01/01/1952
0101000020E6100000A0EEF26382A811C08B389D64AB034D40,3.5,04/04/2006,Scottish and Southern Energy (SSE),Lairg,Renewable,Small Hydro,20,Operational,Highland,Scotland,Scotland,58.028668,-4.4145599,01/01/1959
0101000020E6100000B3846BA45B2505C0E86A2BF697AF4A40,7.9,20/03/2003,NOVERA,Arpley Landfill Scheme 'B',Renewable,Landfill Gas,172,Operational,Cheshire,North West,England,53.371825,-2.6432412,10/12/1999
