BM Units Registered with Central Registration Agency 
 
BM Unit ID,BMU Name,Party Name,Party ID,BMU Type,NGC BMU Name,GSP Group Id,GSP Group Name,Trading Unit Name,Prod/Cons Flag,Prod/Cons Status,TLF,GC,DC,WDCALF,NWDCALF,SECALF,WDBMCAIC,NWDBMCAIC,WDBMCAEC,NWDBMCAEC,Exempt Export Flag,Base TU Flag,FPN Flag,Interconnector Id,Effective From, Manual Credit Qualifying Flag, Credit Qualifying Status
2__AALAB000,"ALAB_A","ALABAMA ENERGY LIMITED",ALAB,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.0084231,0,0,.4769,.4461,.25,0,0,0,0,F,T,F,,01/12/18,,F
2__AALAS000,"ALAS_A","ALASKA ENERGY LIMITED",ALAS,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.0084231,0,0,.4769,.4461,.25,0,0,0,0,F,T,F,,01/12/18,,F
2__AALBU000,"ALBU_A","ALBUQUERQUE ENERGY LIMITED",ALBU,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.0084231,0,0,.4769,.4461,.25,0,0,0,0,F,T,F,,01/12/18,,F
2__AALTI000,"2__AALTI000","Co-operative Energy Limited",VOLA,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.0084231,0,-3.4614,.3794,.4254,.25,-1.313,-1.472,0,0,F,T,F,,01/12/18,,F
2__AANGE000,"2__AANGE000","Limejump Energy Limited",ANGEL,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.0084231,72.6,-16.2,.1189,.1155,.1179,-1.926,-1.871,8.632,8.385,F,T,F,,01/12/18,,F
2__AANGE001,"2__AANGE001","Limejump Energy Limited",ANGEL,S,"AG-ALIM02",_A,"Eastern GSP Group","DEFAULT__A",,C,.0084231,80,-8,.4769,.4461,.25,-3.815,-3.569,38.152,35.688,F,T,T,,01/12/18,F,F
2__AARIZ000,"ARIZ_A","Simplicity Energy Limited",ARIZ,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.0084231,0,-2,.4769,.4461,.25,-.954,-.892,0,0,F,T,F,,01/12/18,,F
2__AARRU000,"2__AARRU000","Arruzzi Energy Supply Ltd",ARRUZZI,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.0084231,0,0,.4769,.4461,.25,0,0,0,0,F,T,F,,01/12/18,,F
2__AAVRO000,"AVRO_A","AVRO ENERGY LIMITED",AVRO,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.0084231,0,-15.4,.4408,.4691,.25,-6.788,-7.224,0,0,F,T,F,,01/12/18,,F
2__AAXIS000,"2__AAXIS000","Axis Telecom Ltd",AXISTELE,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.0084231,0,0,.4535,.3674,.25,0,0,0,0,F,T,F,,01/12/18,,F
2__AAXPO000,"2__AAXPO000","AXPO UK LIMITED",EGLUK,G,"EAS-AXPO1",_A,"Eastern GSP Group","DEFAULT__A",,C,.0084231,55,-5,.3565,.3827,.25,-1.783,-1.914,19.608,21.049,F,T,F,,01/12/18,,F
2__AAZAC000,"2__AAZAC000","TOGETHER ENERGY SUPPLY LIMITED",AZACCA,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.0084231,0,-.2,.3925,.4307,.25,-.079,-.086,0,0,F,T,F,,01/12/18,,F
2__ABARB000,"2__ABARB000","Barbican Power Limited",BARBICAN,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.0084231,0,0,.4769,.4461,.25,0,0,0,0,F,T,F,,01/12/18,,F
2__ABAYS000,"2__ABAYS000","Bayswater Energy Limited",BAYSWATE,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.0084231,0,0,.4769,.4461,.25,0,0,0,0,F,T,F,,01/12/18,,F
2__ABCFC000,"2__ABCFC000","Octopus Energy Limited",MERCURY,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.0084231,0,0,.4129,.4414,.25,0,0,0,0,F,T,F,,01/12/18,,F
2__ABETH000,"2__ABETH000","Mongoose Energy Supply Limited",BETHNAL,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.0084231,0,0,.4769,.4461,.25,0,0,0,0,F,T,F,,01/12/18,,F
2__ABGAS000,"2__ABGAS000","British Gas Trading Ltd",BRITGAS,G,"EAS-BGS01",_A,"Eastern GSP Group","DEFAULT__A",,C,.0084231,0,-656,.5288,.5669,.25,-346.893,-371.886,0,0,F,T,T,,01/12/18,,F
2__ABIZZ000,"2__ABIZZ000","British Gas Trading Ltd",BRITGAS,G,"EAS-BIZ01",_A,"Eastern GSP Group","DEFAULT__A",,C,.0084231,0,-4,.3688,.292,.25,-1.475,-1.168,0,0,F,T,F,,01/12/18,,F
2__ABLBL000,"2__ABLBL000","Bluebell Energy Supply Ltd",BLUEBELL,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.0084231,0,0,.4769,.4461,.25,0,0,0,0,F,T,F,,01/12/18,,F
2__ABNRG000,"2__ABNRG000","Electricity Plus Supply Ltd",BAENERGY,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.0084231,0,-56.442,.5719,.5987,.25,-32.279,-33.792,0,0,F,T,F,,01/12/18,,F
2__ABORE000,"2__ABORE000","Zebra Power Limited",BOR,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.0084231,0,-.07,.421,.4473,.25,-.029,-.031,0,0,F,T,F,,01/12/18,,F
2__ABREZ000,"2__ABREZ000","Breeze Energy Supply Ltd",BREEZE,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.0084231,3.636,-1.8,.1856,.1913,.25,-.334,-.344,.675,.696,F,T,F,,01/12/18,,F
2__ABRZE000,"2__ABRZE000","arto.energy Ltd",BRONZE,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.0084231,0,0,.4769,.4461,.25,0,0,0,0,F,T,F,,01/12/18,,F
